epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,678.005,0.72654,0.36461,0.88837,0.98364,0.98367,0.99262,0.74506,0.98882,0.3899,0.97057,0.00076636,0.00076636,0.00076636
120,683.458,0.71504,0.36105,0.88606,0.98197,0.97378,0.98975,0.74012,0.97943,0.40018,0.96958,0.00076438,0.00076438,0.00076438
121,688.895,0.72734,0.36075,0.89008,0.98689,0.96536,0.99101,0.75225,0.97344,0.39148,0.96857,0.0007624,0.0007624,0.0007624
122,694.237,0.72625,0.3686,0.891,0.98314,0.98679,0.99298,0.74462,0.96883,0.38027,0.96784,0.00076042,0.00076042,0.00076042
123,699.727,0.71025,0.35731,0.88525,0.99132,0.97973,0.99291,0.74545,0.96724,0.38304,0.96396,0.00075844,0.00075844,0.00075844
124,705.125,0.7043,0.36268,0.88728,0.98659,0.97737,0.99281,0.74384,0.96477,0.3949,0.96089,0.00075646,0.00075646,0.00075646
125,710.386,0.70374,0.35124,0.88147,0.98666,0.97404,0.99039,0.74262,0.9695,0.38587,0.96363,0.00075448,0.00075448,0.00075448
126,715.719,0.70608,0.35887,0.87947,0.96597,0.97086,0.98641,0.7469,0.96446,0.40966,0.9565,0.0007525,0.0007525,0.0007525
127,721.08,0.69785,0.36276,0.8815,0.99155,0.98129,0.99222,0.74881,0.9847,0.38928,0.97418,0.00075052,0.00075052,0.00075052
128,726.397,0.72214,0.35861,0.88615,0.98945,0.98354,0.993,0.75976,0.95574,0.3833,0.95998,0.00074854,0.00074854,0.00074854
129,731.849,0.7113,0.35338,0.88406,0.98348,0.985,0.99025,0.75803,0.95039,0.38369,0.95764,0.00074656,0.00074656,0.00074656
130,737.207,0.69567,0.3536,0.88112,0.98952,0.98368,0.99011,0.7434,0.97529,0.38973,0.97222,0.00074458,0.00074458,0.00074458
131,742.505,0.69512,0.35168,0.88576,0.9922,0.98338,0.99292,0.75417,0.95806,0.38195,0.9697,0.0007426,0.0007426,0.0007426
132,747.936,0.68808,0.35379,0.88131,0.98567,0.98851,0.99201,0.75728,0.9562,0.38639,0.97096,0.00074062,0.00074062,0.00074062
133,753.447,0.69308,0.34957,0.88287,0.98929,0.9844,0.99147,0.75204,0.96942,0.38278,0.97217,0.00073864,0.00073864,0.00073864
134,759.172,0.68878,0.34846,0.87674,0.98771,0.97719,0.99174,0.74923,0.9748,0.3846,0.97541,0.00073666,0.00073666,0.00073666
135,764.654,0.68452,0.34678,0.88345,0.97833,0.97615,0.9908,0.74263,0.96367,0.39414,0.96693,0.00073468,0.00073468,0.00073468
136,770.201,0.69653,0.35404,0.88793,0.9847,0.97711,0.99258,0.75231,0.96387,0.3842,0.96758,0.0007327,0.0007327,0.0007327
137,775.48,0.68746,0.35274,0.88144,0.97964,0.97638,0.99291,0.75168,0.95583,0.38476,0.96871,0.00073072,0.00073072,0.00073072
138,780.79,0.68377,0.35069,0.88006,0.98727,0.9824,0.99337,0.754,0.94754,0.39047,0.96594,0.00072874,0.00072874,0.00072874
139,786.225,0.68674,0.35566,0.88246,0.96934,0.98202,0.99074,0.73778,0.98451,0.40075,0.97675,0.00072676,0.00072676,0.00072676
140,791.523,0.69299,0.35808,0.88188,0.98632,0.97192,0.9928,0.75359,0.95871,0.39783,0.96761,0.00072478,0.00072478,0.00072478
141,796.937,0.68197,0.34532,0.87851,0.97486,0.98885,0.99294,0.74073,0.9777,0.37908,0.97795,0.0007228,0.0007228,0.0007228
142,802.308,0.65956,0.33462,0.86882,0.9906,0.97432,0.99111,0.73978,0.9798,0.38746,0.9729,0.00072082,0.00072082,0.00072082
143,807.621,0.67928,0.34735,0.8764,0.99217,0.98233,0.99321,0.74797,0.96616,0.37554,0.96506,0.00071884,0.00071884,0.00071884
144,812.914,0.6743,0.3527,0.87626,0.98943,0.96862,0.99113,0.74199,0.9731,0.39422,0.97295,0.00071686,0.00071686,0.00071686
145,818.258,0.673,0.34356,0.87654,0.98482,0.9559,0.98886,0.74614,0.97496,0.40961,0.96925,0.00071488,0.00071488,0.00071488
146,824.29,0.67301,0.35031,0.87692,0.98883,0.97684,0.99258,0.74822,0.98312,0.38552,0.97625,0.0007129,0.0007129,0.0007129
147,830.388,0.6685,0.33828,0.87291,0.98712,0.97862,0.99296,0.7444,0.97586,0.38679,0.97617,0.00071092,0.00071092,0.00071092
148,836.024,0.67414,0.3496,0.87745,0.97422,0.9696,0.99134,0.73113,1.03478,0.41421,0.99905,0.00070894,0.00070894,0.00070894
149,841.385,0.6785,0.34663,0.87312,0.97621,0.97887,0.99101,0.75032,0.95626,0.40876,0.96735,0.00070696,0.00070696,0.00070696
150,846.552,0.66503,0.33959,0.87398,0.98579,0.9747,0.99189,0.74625,0.96271,0.38566,0.96952,0.00070498,0.00070498,0.00070498
151,853.603,0.66159,0.34265,0.87275,0.97934,0.98885,0.99185,0.75276,0.94632,0.37439,0.96619,0.000703,0.000703,0.000703
152,858.864,0.64255,0.33128,0.86902,0.98138,0.98023,0.99187,0.75071,0.95976,0.38626,0.97486,0.00070102,0.00070102,0.00070102
153,864.17,0.64682,0.32972,0.87086,0.97703,0.98274,0.99227,0.75626,0.95285,0.3834,0.9704,0.00069904,0.00069904,0.00069904
154,869.457,0.64706,0.33521,0.8666,0.97876,0.97975,0.99174,0.75572,0.95351,0.39215,0.97192,0.00069706,0.00069706,0.00069706
155,874.663,0.64685,0.33334,0.86799,0.98266,0.98099,0.99025,0.74906,0.97608,0.39196,0.98176,0.00069508,0.00069508,0.00069508
156,880.121,0.65145,0.33166,0.86536,0.97584,0.97608,0.99077,0.74485,0.95416,0.37997,0.97097,0.0006931,0.0006931,0.0006931
157,885.401,0.64846,0.33669,0.87376,0.98719,0.98197,0.99314,0.75255,0.96875,0.37637,0.97356,0.00069112,0.00069112,0.00069112
